0,age,gender,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
3761,20,F,LGZO6X0,City,Silver Membership,24-10-2016,Yes,CID23173,Credit/Debit Card Offers,Desktop,Fiber_Optic,09:35:04,10,79.58,30494.53,13,630.86,Yes,No,Yes,Unsolved,Poor Customer Service,1
3762,24,M,3M4P2CL,,Premium Membership,23-05-2016,No,xxxxxxxx,Credit/Debit Card Offers,?,Mobile_Data,03:28:00,9,198.58,28162.03,13,709.68,Yes,No,Yes,Solved in Follow-up,User Friendly Website,0
3763,60,F,DGZ4U1E,,Gold Membership,30-11-2016,Yes,CID47503,Credit/Debit Card Offers,?,Mobile_Data,05:17:26,12,605.22,53154.84,10,766.49,No,Yes,Yes,No Information Available,Products always in Stock,0
3764,11,M,814MP28,Village,Silver Membership,07-02-2017,Yes,CID10579,Without Offers,Desktop,Fiber_Optic,06:15:36,3,50.11,20197.96,10,687.58,Yes,No,No,Not Applicable,Too many ads,1
3765,10,M,2IN3BA1,Town,Gold Membership,22-08-2015,No,xxxxxxxx,Credit/Debit Card Offers,Both,Mobile_Data,10:59:58,24,264.86,5197.62,24,1125.994765,No,Yes,No,Not Applicable,No reason specified,0
3766,18,M,CZFAMJ0,Town,Premium Membership,18-05-2016,No,xxxxxxxx,Gift Vouchers/Coupons,?,Fiber_Optic,16:14:57,20,264.62,32127.02,5,787.74,No,Yes,No,Not Applicable,Too many ads,0
3767,27,M,6HWNFBU,Town,Basic Membership,20-05-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,10:33:41,11,59.95,28438.11,16,1005.312955,Yes,No,Yes,Solved,Poor Customer Service,1
3768,63,M,16P02I4,Town,No Membership,19-11-2015,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,14:48:42,17,34.82,19132.88,11,546.64,No,Yes,No,Not Applicable,Poor Website,1
3769,29,F,3M56UNB,Town,Gold Membership,15-10-2016,Yes,CID63304,Credit/Debit Card Offers,Both,Fiber_Optic,06:26:45,12,743.89,40265.12,12,798.56,No,Yes,No,Not Applicable,Reasonable Price,0
3770,38,M,ZWAAHER,,No Membership,25-01-2015,Yes,CID11059,Gift Vouchers/Coupons,Desktop,Fiber_Optic,04:41:34,17,-933.495192,40079.13,24,569.46,No,Yes,Yes,No Information Available,Poor Customer Service,1
3771,11,M,WX7Y6NI,Town,Silver Membership,09-05-2015,Yes,CID19351,Credit/Debit Card Offers,Desktop,Mobile_Data,16:24:10,14,137.07,8240,27,696.54,Yes,No,No,Not Applicable,Poor Customer Service,1
3772,33,M,AHPOEWM,Village,Silver Membership,29-04-2015,Yes,CID16487,Credit/Debit Card Offers,Desktop,Mobile_Data,10:57:11,14,43.97,19740.37,Error,711.75,Yes,No,No,Not Applicable,Poor Customer Service,0
3773,36,M,W0YS2NX,Town,No Membership,18-12-2016,Yes,CID24005,Without Offers,Smartphone,Wi-Fi,05:39:38,-999,734.08,29204.67,14,,No,Yes,No,Not Applicable,Poor Product Quality,1
3774,38,M,UYMC3EX,Town,Silver Membership,20-10-2015,Yes,CID25456,Credit/Debit Card Offers,Desktop,Mobile_Data,11:31:39,6,69.57,8683.67,18,640.23,Yes,No,Yes,Unsolved,Too many ads,1
3775,14,F,YFBBC2E,Town,Basic Membership,26-01-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,16:29:28,11,303.68,16494.01,29,386.2798129,Yes,No,Yes,Solved,Too many ads,1
3776,56,M,SK8JL97,Village,No Membership,30-05-2015,Yes,CID37473,Without Offers,Smartphone,Wi-Fi,18:23:28,14,33.3,33669.57,28,679.88,No,Yes,No,Not Applicable,Poor Customer Service,1
3777,40,M,U0SBGUW,Town,Basic Membership,29-11-2015,?,CID43520,Credit/Debit Card Offers,Desktop,Wi-Fi,21:52:39,10,159.43,17045.12,15,682.26,Yes,No,No,Not Applicable,Poor Website,1
3778,22,F,MIK809T,,Gold Membership,07-11-2015,No,xxxxxxxx,Credit/Debit Card Offers,?,Fiber_Optic,04:38:10,14,230.71,79275.57,5,716.88,No,Yes,Yes,Solved,User Friendly Website,0
3779,40,F,6925YIH,City,Gold Membership,25-01-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,21:49:15,12,267.06,821.83,28,731.61,Yes,No,Yes,Solved,Poor Website,0
3780,64,F,3DLH1YM,City,Silver Membership,25-09-2015,Yes,xxxxxxxx,,Smartphone,Wi-Fi,08:35:21,-999,62.58,45851.21,21,665.64,No,Yes,No,Not Applicable,Poor Customer Service,1
3781,57,M,ECSIS4W,Town,Basic Membership,31-05-2017,Yes,CID29451,Gift Vouchers/Coupons,Desktop,Wi-Fi,02:34:21,9,103.68,7077.25,18,369.8539126,Yes,No,Yes,Unsolved,Poor Website,0
3782,16,F,22KUKIA,City,No Membership,24-02-2017,Yes,CID35940,Without Offers,Smartphone,Wi-Fi,17:25:48,13,89.64,35024.35,10,503.01,No,Yes,No,Not Applicable,Too many ads,1
3783,43,M,XQ7ET1P,City,Platinum Membership,28-04-2016,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,10:35:35,13,152.54,41558.99,11,827.15,No,Yes,Yes,Unsolved,User Friendly Website,0
3784,20,M,ZYRF24N,,Gold Membership,03-08-2017,Yes,CID56071,Credit/Debit Card Offers,?,Wi-Fi,01:53:02,4,1203.207534,11573.44,24,715.04,No,Yes,No,Not Applicable,Poor Customer Service,0
3785,48,M,O2N53Y3,Town,Premium Membership,28-10-2016,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,15:00:39,16,34.8,12074.86,14,742.96,Yes,No,Yes,Unsolved,Poor Product Quality,0
3786,26,M,QOIUQSX,City,Gold Membership,06-05-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,11:32:10,2,366.56,31913.89,20,734.33,No,Yes,No,Not Applicable,Poor Website,0
3787,54,M,YPOWEKL,City,Gold Membership,05-09-2015,Yes,CID49260,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,22:08:13,9,32.34,3619.52,14,689.51,No,Yes,No,Not Applicable,Poor Customer Service,1
3788,18,F,MOQOQA4,Town,No Membership,28-02-2017,Yes,CID35570,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,09:01:27,6,152.57,9241.72,28,,Yes,No,No,Not Applicable,Poor Website,1
3789,61,F,K1LDQQY,,Gold Membership,09-07-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,10:25:12,14,341.98,35089.34,26,755.97,Yes,No,No,Not Applicable,No reason specified,0
3790,29,M,8HO4UYL,City,No Membership,18-10-2016,Yes,CID45298,Credit/Debit Card Offers,Both,Mobile_Data,02:43:56,9,832.03,2705.56,16,688.78,Yes,No,No,Not Applicable,Too many ads,1
3791,18,M,XW7AMXD,City,Silver Membership,25-09-2015,Yes,CID11698,Without Offers,?,Fiber_Optic,18:08:19,20,181.24,15024.45,23,672.51,No,Yes,Yes,Solved in Follow-up,Poor Website,1
3792,51,F,5NQE04V,Town,Silver Membership,17-11-2016,No,xxxxxxxx,Credit/Debit Card Offers,Both,Mobile_Data,04:53:23,16,428.04,89086.06,12,736.67,Yes,No,No,Not Applicable,User Friendly Website,0
3793,38,F,3H683B1,Village,Basic Membership,20-01-2015,Yes,CID48782,Credit/Debit Card Offers,Desktop,Fiber_Optic,07:46:19,22,32.36,19392.73,26,918.6508607,No,Yes,Yes,Solved in Follow-up,Poor Website,1
3794,47,M,L017R5I,Town,Basic Membership,30-08-2015,Yes,CID48836,Without Offers,?,Fiber_Optic,16:08:18,12,70.11,26555.45,Error,596.54,Yes,No,Yes,Solved,Poor Customer Service,1
3795,16,M,GW3A3LH,Village,Premium Membership,21-10-2017,Yes,CID477,Credit/Debit Card Offers,Smartphone,Fiber_Optic,05:43:30,9,544.07,21526.78,12,,No,Yes,No,Not Applicable,Products always in Stock,0
3796,54,M,WUCIJ2G,,Gold Membership,05-08-2017,No,xxxxxxxx,Gift Vouchers/Coupons,?,Mobile_Data,03:38:26,17,222.28,9998.73,29,,Yes,Yes,Yes,No Information Available,No reason specified,0
3797,18,F,GDEIQGB,Village,No Membership,02-04-2016,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,20:52:22,20,69.74,11662.38,15,603.98,Yes,No,Yes,Solved in Follow-up,Too many ads,1
3798,38,F,BBZY1SQ,City,Silver Membership,21-03-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,03:35:58,8,210.49,34770.4,21,984.0715273,Yes,No,Yes,Solved,Poor Product Quality,0
3799,50,M,CVGS30E,Town,Gold Membership,20-09-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,11:32:41,15,120.13,1776.07,9,623.35,No,Yes,Yes,Unsolved,Poor Product Quality,1
3800,54,M,F0F2967,Village,Gold Membership,20-06-2015,No,xxxxxxxx,Without Offers,?,Mobile_Data,08:43:29,14,157.09,97175.85,2,1068.525505,Yes,No,Yes,Solved,Products always in Stock,0
3801,57,F,QKNLVZG,City,No Membership,09-01-2015,?,CID28721,Without Offers,?,Fiber_Optic,19:36:29,15,108.87,42694.7,8,512.46,Yes,No,No,Not Applicable,Too many ads,1
3802,19,F,1HHGVTU,Town,No Membership,23-11-2017,Yes,CID14965,Without Offers,?,Fiber_Optic,23:47:27,23,34.19,3942.49,12,606.19,No,Yes,Yes,Solved,Poor Customer Service,1
3803,60,M,I032E0N,City,No Membership,27-05-2015,Yes,CID26605,Credit/Debit Card Offers,Smartphone,Fiber_Optic,18:17:39,2,189.84,43442.41,15,486.3864626,No,Yes,Yes,Solved,No reason specified,1
3804,30,F,X4DUJZ0,City,Basic Membership,18-12-2015,Yes,CID57223,Without Offers,Both,Wi-Fi,23:18:56,15,825.1,1004.88,29,666.95,Yes,Yes,Yes,Solved in Follow-up,Too many ads,1
3805,62,M,D6FSU9O,Village,Basic Membership,01-08-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,18:14:41,9,489.95,30177.4,19,673.68,No,Yes,No,Not Applicable,Too many ads,1
3806,50,F,QKPPGD4,,Gold Membership,18-09-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,11:18:34,17,-998.3363361,1899.21,23,614.35,Yes,No,Yes,Solved in Follow-up,Too many ads,1
3807,32,M,5U2G7BA,City,Platinum Membership,31-07-2015,No,xxxxxxxx,Without Offers,Both,Mobile_Data,05:09:42,16,269.12,17977.86,23,776.35,Yes,No,Yes,Solved,Poor Website,0
3808,14,F,WPW64VQ,Village,Platinum Membership,01-07-2017,?,CID22476,Gift Vouchers/Coupons,Smartphone,Wi-Fi,20:38:25,9,202.63,2152.13,13,751.33,No,Yes,Yes,Solved in Follow-up,Quality Customer Care,0
3809,35,F,FYV7F4F,,Gold Membership,05-07-2015,?,CID21602,Gift Vouchers/Coupons,Smartphone,Mobile_Data,05:47:11,3,78.4,91119.03,6,729.75,Yes,No,No,Not Applicable,Products always in Stock,0
3810,64,F,P1WAO45,City,Premium Membership,23-02-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,07:32:42,9,299.71,11544.97,2,761.22,Yes,No,Yes,Unsolved,User Friendly Website,0
3811,52,F,6MDYZ7F,Village,Gold Membership,19-11-2015,Yes,CID43278,Without Offers,Smartphone,Fiber_Optic,01:24:40,9,180.96,31636.09,16,698.03,Yes,No,Yes,No Information Available,Poor Product Quality,1
3812,55,F,MRUY9ZD,City,Premium Membership,24-11-2017,Yes,CID17488,Without Offers,Desktop,Wi-Fi,11:18:38,20,-899.2398844,49755.94,26,399.1397829,Yes,No,No,Not Applicable,Poor Website,0
3813,50,M,PHOQ591,,Silver Membership,11-03-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,04:04:06,10,31.39,41364.87,10,744.75,Yes,No,Yes,No Information Available,Too many ads,0
3814,51,M,J40DN25,City,Premium Membership,15-10-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,08:58:13,18,55.21,44745.77,11,770.67,No,Yes,No,Not Applicable,No reason specified,0
3815,62,M,HR875BR,Village,Basic Membership,13-07-2016,Yes,CID6300,Without Offers,Smartphone,Mobile_Data,07:03:13,10,42.69,3866.09,13,622.23,Yes,No,No,Not Applicable,Poor Customer Service,1
3816,23,F,NU4W56T,Town,No Membership,25-09-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,07:57:55,19,336.7,31159.96,Error,622.65,Yes,No,No,Not Applicable,No reason specified,1
3817,58,F,4SDGDH5,City,No Membership,29-06-2016,Yes,CID9993,Credit/Debit Card Offers,Desktop,Wi-Fi,11:36:47,16,111.4,15678.05,12,686.07,Yes,No,No,Not Applicable,Poor Product Quality,1
3818,37,F,S1JWPZC,Town,Gold Membership,16-10-2016,Yes,CID52532,Without Offers,?,Fiber_Optic,15:43:05,14,345.65,19888.89,16,785.55,Yes,No,Yes,Solved,User Friendly Website,0
3819,45,F,2HDNE01,Town,Platinum Membership,10-06-2016,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,20:27:57,12,158.1,45415.11,-16.75001624,752.56,Yes,No,No,Not Applicable,Too many ads,0
3820,55,F,H45J7NT,Town,Silver Membership,28-11-2016,?,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,08:03:09,12,363.53,4771.99,23,713.39,Yes,No,Yes,No Information Available,Poor Product Quality,0
3821,23,F,WFQRITC,,Platinum Membership,07-08-2015,Yes,CID37190,Without Offers,?,Mobile_Data,16:42:03,16,157.39,7453.84,25,743.56,Yes,No,Yes,Solved,No reason specified,0
3822,18,M,GP62DT1,City,Platinum Membership,08-12-2015,Yes,CID22994,Without Offers,Desktop,Mobile_Data,13:02:29,21,119.03,91046.03,19,813.56,No,Yes,Yes,Solved in Follow-up,Reasonable Price,0
3823,41,F,G4WOQDK,Town,Silver Membership,08-10-2016,Yes,CID6827,Without Offers,?,Fiber_Optic,19:18:07,-999,85.94,38645.37,24,766.5,No,Yes,No,Not Applicable,Too many ads,0
3824,13,M,D8KQ2WF,Town,Premium Membership,20-09-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,02:25:19,13,144.5,43566.31,16,781.26,Yes,No,Yes,Solved in Follow-up,User Friendly Website,0
3825,53,F,QO7TGA4,Town,No Membership,25-04-2017,Yes,CID58643,Gift Vouchers/Coupons,Desktop,Wi-Fi,08:33:07,20,1221.329449,21753.63,8,648.17,No,Yes,Yes,Solved,No reason specified,1
3826,43,F,N4LFMNH,City,No Membership,15-10-2016,Yes,CID4275,Credit/Debit Card Offers,?,Fiber_Optic,08:26:13,13,131.14,25274.03,7,715.33,Yes,No,Yes,No Information Available,No reason specified,1
3827,16,M,3972WFW,Town,Platinum Membership,13-03-2015,?,CID46908,Without Offers,Both,Mobile_Data,00:40:57,15,266.82,10206.05,12,753.41,Yes,No,Yes,No Information Available,Poor Product Quality,0
3828,12,M,BZK5G4I,Town,Platinum Membership,08-07-2017,Yes,xxxxxxxx,Without Offers,Desktop,Wi-Fi,19:57:45,16,1504.92,11263.38,11,733.71,No,Yes,No,Not Applicable,Poor Customer Service,0
3829,44,F,9AB2R0L,Town,Basic Membership,21-12-2017,Yes,CID7254,Without Offers,Desktop,Wi-Fi,20:45:55,12,598.93,3212.95,10,509.28,Yes,No,No,Not Applicable,Too many ads,1
3830,17,M,9T1Z6ZR,City,Platinum Membership,03-08-2017,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,20:10:32,6,470.6,46755.94,17,781.93,No,Yes,No,Not Applicable,Products always in Stock,0
3831,24,F,OG7Z2W2,City,Basic Membership,04-02-2017,Yes,CID23351,Gift Vouchers/Coupons,Desktop,Fiber_Optic,13:10:07,15,201.81,15410.77,23,545.38,Yes,No,No,Not Applicable,Poor Product Quality,1
3832,22,F,4UYXWLW,Town,No Membership,01-03-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,18:54:28,9,233.67,20985.74,20,,Yes,Yes,Yes,Unsolved,Too many ads,1
3833,28,F,7ND2QVW,City,No Membership,30-10-2017,Yes,CID43033,Without Offers,Desktop,Mobile_Data,15:55:51,5,1052.86,6676.32,17,656.54,Yes,Yes,No,Not Applicable,Poor Website,1
3834,61,M,GILP157,Village,Platinum Membership,24-02-2015,?,CID10753,Without Offers,Smartphone,Wi-Fi,17:58:23,21,33.22,45093.3,26,742.57,No,Yes,Yes,Unsolved,Poor Product Quality,0
3835,17,F,NJSASNH,Village,No Membership,15-12-2017,Yes,CID29776,Without Offers,Desktop,Wi-Fi,00:47:22,9,201.04,47787.34,14,690.98,Yes,No,No,Not Applicable,Poor Website,1
3836,54,F,N0W4XOR,Town,Gold Membership,12-08-2017,Yes,CID19565,Without Offers,?,Mobile_Data,17:46:12,13,63.53,42194.46,9,612.11,No,Yes,No,Not Applicable,Poor Product Quality,1
3837,55,M,ZT2O9FZ,City,Silver Membership,07-03-2015,Yes,CID12947,Gift Vouchers/Coupons,Both,Fiber_Optic,22:50:24,10,297.94,44294.84,16,770.73,No,Yes,Yes,No Information Available,Too many ads,0
3838,40,F,D320E0G,City,Silver Membership,06-05-2016,Yes,CID1072,Credit/Debit Card Offers,Smartphone,Wi-Fi,08:10:45,10,31.35,35295.98,22,705.92,Yes,No,No,Not Applicable,Poor Product Quality,1
3839,25,F,TL6X51P,City,Gold Membership,14-02-2016,No,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,00:49:16,15,374.32,48221.44,15,821.82,No,Yes,No,Not Applicable,User Friendly Website,0
3840,16,M,24L1CUX,,Premium Membership,14-10-2015,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,02:18:37,13,30.6,39637.05,22,747.92,No,Yes,No,Not Applicable,Poor Website,0
3841,24,F,T3HRA4Y,Village,No Membership,16-03-2015,Yes,CID10241,Gift Vouchers/Coupons,Desktop,Wi-Fi,05:40:24,18,31.13,4427.27,Error,564.36,No,Yes,Yes,Unsolved,Too many ads,1
3842,26,M,BQRMOW9,Town,No Membership,16-06-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,15:19:20,8,227.66,45820.61,27,240.3651357,No,Yes,No,Not Applicable,Poor Customer Service,1
3843,15,M,WUVQDWN,City,No Membership,11-09-2016,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,04:32:35,8,34.07,9151.14,29,655.43,Yes,No,No,Not Applicable,No reason specified,1
3844,60,M,1IBEHBM,,No Membership,04-09-2016,Yes,CID5171,Gift Vouchers/Coupons,?,Mobile_Data,04:20:35,9,148.51,8128.9,8,508.52,Yes,No,Yes,No Information Available,Too many ads,1
3845,61,F,S299HAJ,City,Platinum Membership,06-04-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,15:17:22,6,128.53,99054.71,Error,524.9039267,No,Yes,Yes,Solved,Products always in Stock,0
3846,43,F,FAKHX7A,,Premium Membership,21-05-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Mobile_Data,20:10:53,15,282.38,58391.18,10,1273.014596,No,Yes,Yes,Solved,User Friendly Website,0
3847,28,M,GX3CQ25,Village,Premium Membership,22-08-2016,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,20:18:38,10,33.66,15120.17,29,764.96,No,Yes,No,Not Applicable,No reason specified,0
3848,49,M,GYT2RWI,Town,Silver Membership,29-01-2017,No,xxxxxxxx,Credit/Debit Card Offers,?,Mobile_Data,10:59:34,24,56.65,11650.19,20,715.42,No,Yes,Yes,Solved in Follow-up,Too many ads,1
3849,59,F,Y64SBXR,City,Platinum Membership,19-07-2015,Yes,CID53111,Gift Vouchers/Coupons,Desktop,Fiber_Optic,20:22:16,19,180.71,7731.58,15,780.94,No,Yes,Yes,Unsolved,Reasonable Price,0
3850,24,F,AWEKP8A,City,Gold Membership,21-09-2016,Yes,CID2925,Credit/Debit Card Offers,Both,Mobile_Data,03:01:08,4,281,8441.18,14,641.63,No,Yes,No,Not Applicable,Poor Customer Service,1
3851,32,F,9UA5U7E,City,Platinum Membership,27-05-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,00:44:55,20,105.47,12861.87,Error,980.2843304,No,Yes,No,Not Applicable,Poor Product Quality,0
3852,36,F,7NZMXFZ,Village,No Membership,25-10-2016,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,09:32:22,9,33.68,2060.02,28,1128.548974,No,Yes,No,Not Applicable,Poor Website,1
3853,41,F,YG9UMAX,City,No Membership,03-05-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,22:31:44,15,34.52,19019.73,25,652.02,No,Yes,No,Not Applicable,No reason specified,1
3854,26,M,M84AC01,City,Gold Membership,29-04-2016,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,16:31:27,22,31.76,48906.02,25,-73.45419246,No,Yes,No,Not Applicable,Poor Customer Service,0
3855,55,M,Y28AT8C,City,Platinum Membership,23-08-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Mobile_Data,09:00:45,11,384.24,58999.22,2,479.2522521,Yes,No,Yes,Solved,Products always in Stock,0
3856,62,M,A8QJ54D,Town,Silver Membership,04-08-2017,Yes,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,13:18:17,13,-1061.000228,24846.68,25,1025.207213,No,Yes,Yes,Unsolved,Poor Product Quality,0
3857,53,F,3PNJLR3,City,No Membership,06-08-2016,?,xxxxxxxx,Without Offers,Desktop,Mobile_Data,13:37:42,6,-862.3145532,17923.78,26,668.41,No,Yes,Yes,Solved in Follow-up,Poor Website,1
3858,46,F,BWWVGAV,City,No Membership,24-12-2016,?,CID27323,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,08:19:07,-999,60.23,32156.6,16,619.59,No,Yes,Yes,Solved in Follow-up,No reason specified,1
3859,42,F,79OF4U6,City,No Membership,18-05-2017,Yes,CID4278,Credit/Debit Card Offers,Smartphone,Fiber_Optic,00:56:54,12,40.31,2511.03,14,687.63,Yes,No,Yes,Unsolved,No reason specified,1
3860,51,F,B66CECI,City,Platinum Membership,15-01-2017,Yes,CID24494,Gift Vouchers/Coupons,Smartphone,Wi-Fi,19:55:15,23,217.45,17330.31,-22.14273595,1039.111923,No,Yes,No,Not Applicable,Reasonable Price,0
3861,62,M,EF9V0KO,,Basic Membership,03-10-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,06:34:18,19,141.31,11614.91,21,716.36,No,Yes,Yes,Unsolved,No reason specified,1
3862,46,M,DJQ78V4,City,Basic Membership,30-05-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,10:03:37,-999,141.08,12166.33,8,526.39,Yes,No,No,Not Applicable,Too many ads,1
3863,20,M,QF0NVOS,Town,Gold Membership,14-04-2017,Yes,CID12246,Credit/Debit Card Offers,Both,Wi-Fi,11:27:23,16,2109.208474,33159.14,11,270.6396962,Yes,No,No,Not Applicable,Reasonable Price,0
3864,20,M,PZKJCQN,City,Gold Membership,16-10-2017,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,09:59:44,7,33.89,2187.64,40.58911719,767.76,No,Yes,No,Not Applicable,User Friendly Website,0
3865,12,M,7L47QQB,Town,Silver Membership,02-07-2016,Yes,CID42770,Credit/Debit Card Offers,Smartphone,Wi-Fi,20:48:38,8,61.88,32057.71,15,632.9,No,Yes,Yes,No Information Available,Too many ads,1
3866,14,F,CVIDRFA,Town,Basic Membership,19-10-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,01:40:49,14,292.2,14313.58,7,679.77,No,Yes,Yes,No Information Available,No reason specified,1
3867,53,M,43OQR85,,No Membership,23-02-2016,Yes,CID16739,Gift Vouchers/Coupons,?,Mobile_Data,20:13:12,19,95.37,966.03,27.53480453,669.77,Yes,No,Yes,Solved,Poor Customer Service,1
3868,18,M,34KT9UI,City,Basic Membership,05-05-2015,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,16:11:47,9,-937.9544843,10926.14,14,563.66,Yes,No,No,Not Applicable,Too many ads,1
3869,53,M,QWIAN3Y,Village,Basic Membership,14-12-2016,No,xxxxxxxx,Without Offers,?,Wi-Fi,17:52:15,10,48.02,20436.28,5,676.57,No,Yes,Yes,No Information Available,Too many ads,1
3870,21,M,FYUS6PB,City,Silver Membership,20-06-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,19:01:31,13,54.95,2146.09,9,358.2785079,Yes,No,No,Not Applicable,No reason specified,0
3871,36,F,UE2T1I4,Town,Basic Membership,19-12-2017,No,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,16:04:14,14,35.92,25426.75,20,572.54,No,Yes,No,Not Applicable,Too many ads,1
3872,13,F,IKG41MC,,Basic Membership,05-09-2016,Yes,CID57412,Gift Vouchers/Coupons,Smartphone,Mobile_Data,11:53:08,4,785.6,19884.08,28,522.93,Yes,Yes,No,Not Applicable,Poor Customer Service,1
3873,10,M,XPEGNVS,City,Silver Membership,23-09-2016,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,23:08:53,10,58.15,49214.97,17,607.68,No,Yes,Yes,Solved in Follow-up,No reason specified,1
3874,25,F,6BIXDYE,City,No Membership,21-06-2016,Yes,CID16066,Gift Vouchers/Coupons,Desktop,Mobile_Data,14:32:23,11,192.91,31044.43,5,,Yes,No,Yes,Solved,Too many ads,1
3875,63,M,RHHT6Y6,Town,No Membership,07-01-2015,Yes,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,21:29:19,4,329.27,26208.25,28,697.08,No,Yes,Yes,Solved,Too many ads,1
3876,46,F,BDW9FS5,City,Basic Membership,23-10-2017,?,CID14137,Without Offers,Smartphone,Fiber_Optic,01:57:34,10,53.38,20576.45,49.36337765,,No,Yes,Yes,Unsolved,Poor Product Quality,1
3877,30,M,2MKIDHO,Town,No Membership,14-01-2016,?,CID47852,Without Offers,Smartphone,Fiber_Optic,16:09:47,6,883.08,18844.89,7,679.52,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,1
3878,34,M,4ME15Y2,Village,Premium Membership,03-08-2016,Yes,CID8774,Gift Vouchers/Coupons,Smartphone,Mobile_Data,15:52:48,8,997.15,11120.07,12,798.88,Yes,No,No,Not Applicable,Quality Customer Care,0
3879,30,F,AVEIJSI,City,Silver Membership,23-10-2016,Yes,CID43754,Credit/Debit Card Offers,Smartphone,Fiber_Optic,10:52:28,20,66.24,9728.8,8,652.27,No,Yes,No,Not Applicable,Too many ads,1
3880,19,M,Q3N9L2O,Town,Silver Membership,05-11-2016,Yes,CID63970,Credit/Debit Card Offers,Smartphone,Fiber_Optic,14:35:08,17,205.78,9609,-7.044123324,725.59,Yes,No,Yes,No Information Available,Poor Website,0
3881,13,F,8YMP64B,,No Membership,15-06-2017,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,11:44:49,17,33.12,1790.55,17,696.79,No,Yes,No,Not Applicable,Poor Customer Service,0
3882,34,F,PZNHS3R,Town,Basic Membership,08-02-2016,?,CID18035,Gift Vouchers/Coupons,Desktop,Fiber_Optic,10:53:21,15,376.73,30984.97,16,,Yes,No,Yes,Solved,Poor Customer Service,1
